Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Linear Regression,107.10342457405747,9.343076653093906,203.59464142564198,27.539215137848977,0.9211986270487701,0.022400103588450092
Gradient Boosting,97.21323659535567,13.155423364240647,205.6652558406976,46.937087398795114,0.923602853452343,0.01624855370384793
Random Forest,100.9137294688786,12.023222482704533,217.2484646802881,44.26701915798514,0.9118112232527604,0.028134070881040585
