parsimony_coefficient,program_length,RMSE,R2
0.0,233,214.44582120101305,0.9258167606560813
0.001,67,214.2445107768354,0.9259559739057115
0.005,37,203.24409565279714,0.9333643721536407
0.01,25,214.9256151278348,0.925484439098745
0.05,5,212.19990045406024,0.9273624863997487
