parsimony_coefficient,length_mean,length_std,length_min,length_max,RMSE_mean,RMSE_std,R2_mean,R2_std
0.0,106.2,72.40994406847723,59,233,212.0080470055751,2.5084010059116952,0.9274856526126836,0.001717202120847206
0.05,3.8,1.7888543819998317,1,5,213.34286477449677,2.589981855082247,0.9265692329198882,0.0017972024912897453
